SPP,ICV,rank_p,nc90,nc95
3,45,<0.1,43-55,42-56
4,47,<0.1,45-57,43-58
5,49,<0.1,46-59,45-60
6,51,0.1,48-61,47-62
7,53,0.1,50-62,49-64
8,55,0.1,52-64,51-65
9,57,0.2,54-66,53-67
10,59,0.3,56-68,55-69
11,61,0.5,58-70,56-71
12,63,1,60-72,58-73
13,65,1,61-74,60-75
14,67,1,63-75,62-77
15,70,2,66-78,65-79
16,72,3,68-80,67-81
17,74,4,70-82,69-83
18,76,5,72-84,70-85
19,78,7,73-86,72-87
20,80,9,75-87,74-89
21,82,12,77-89,76-90
22,84,14,79-91,78-92
23,86,18,81-93,80-94
24,88,21,83-95,82-96
25,91,27,86-98,84-99
26,93,32,87-100,86-101
27,95,37,89-101,88-103
28,97,42,91-103,90-104
29,99,47,93-105,92-106
30,101,53,95-107,94-108
31,103,58,97-109,96-110
32,104,61,98-110,96-111
33,106,66,100-112,98-113
34,108,70,101-114,100-115
35,110,75,103-115,102-117
36,111,77,104-116,103-117
37,113,81,106-118,105-119
38,115,84,108-120,107-121
39,117,87,110-122,109-123
40,119,90,112-124,110-125
41,121,92,113-126,112-127
42,123,94,115-127,114-129
43,125,95,117-129,116-130
44,126,96,118-130,117-131
45,128,97,120-132,119-133
46,130,98,122-134,121-135
47,132,98,124-136,123-137
48,134,99,126-138,124-139
49,136,99,127-140,126-141
50,138,99,129-141,128-143
51,141,99.7,132-144,131-145
52,143,99.8,134-146,133-147
53,146,99.9,137-149,136-150
54,148,99.9,139-151,137-152
55,151,>99.9,141-154,140-155
56,153,>99.9,143-155,142-157
57,155,>99.9,145-157,144-158
