SPP,QIT,rank_p,nc90,nc95
10,40,<0.1,38-46,37-47
11,40,<0.1,38-46,37-47
12,41,<0.1,39-47,38-48
13,41,<0.1,39-47,38-48
14,42,<0.1,40-48,39-49
15,43,<0.1,41-49,40-50
16,43,<0.1,41-49,40-50
17,44,<0.1,42-50,41-51
18,44,<0.1,42-50,41-51
19,45,<0.1,43-51,42-52
20,46,<0.1,43-52,43-53
21,46,<0.1,43-52,43-53
22,47,<0.1,44-53,44-54
23,47,<0.1,44-53,44-54
24,48,<0.1,45-54,45-54
25,49,<0.1,46-55,46-55
26,49,<0.1,46-55,46-55
27,50,<0.1,47-56,47-56
28,50,<0.1,47-56,47-56
29,51,0.1,48-57,48-57
30,52,0.1,49-58,49-58
31,52,0.1,49-58,49-58
32,53,0.1,50-59,49-59
33,53,0.1,50-59,49-59
34,54,0.1,51-60,50-60
35,55,0.1,52-60,51-61
36,55,0.1,52-60,51-61
37,56,0.2,53-61,52-62
38,56,0.2,53-61,52-62
39,57,0.2,54-62,53-63
40,58,0.3,55-63,54-64
41,58,0.3,55-63,54-64
42,59,0.3,56-64,55-65
43,59,0.3,56-64,55-65
44,60,0.4,57-65,56-66
45,60,0.4,57-65,56-66
46,61,0.5,58-66,57-67
47,61,0.5,58-66,57-67
48,62,1,59-67,58-68
49,62,1,59-67,58-68
50,63,1,60-68,59-69
51,63,1,60-68,59-69
52,64,1,61-69,60-70
53,65,1,62-70,61-71
54,65,1,62-70,61-71
55,66,1,63-71,62-72
56,67,1,64-72,63-73
57,67,1,64-72,63-73
58,68,2,65-73,64-74
59,69,2,66-74,65-75
60,69,2,66-74,65-75
61,70,2,67-75,66-76
62,71,3,68-76,67-77
63,72,3,69-77,68-78
64,73,4,70-78,69-79
65,73,4,70-78,69-79
66,74,4,71-79,70-80
67,75,5,72-80,71-81
68,76,5,73-81,72-82
69,77,6,74-82,73-83
70,77,6,74-82,73-83
71,78,7,75-83,74-84
72,79,8,75-84,75-85
73,80,9,76-85,76-86
74,81,10,77-86,77-87
75,81,10,77-86,77-87
76,82,12,78-87,78-87
77,83,13,79-88,79-88
78,84,14,80-89,80-89
79,84,14,80-89,80-89
80,85,16,81-90,81-90
81,86,18,82-91,81-91
82,86,18,82-91,81-91
83,87,19,83-92,82-92
84,87,19,83-92,82-92
85,88,21,84-93,83-93
86,89,23,85-93,84-94
87,89,23,85-93,84-94
88,90,25,86-94,85-95
89,91,27,87-95,86-96
90,92,30,88-96,87-97
91,93,32,89-97,88-98
92,94,34,90-98,89-99
93,94,34,90-98,89-99
94,95,37,91-99,90-100
95,96,39,92-100,91-101
96,97,42,93-101,92-102
97,98,45,94-102,93-103
98,98,45,94-102,93-103
99,99,47,95-103,94-104
100,100,50,96-104,95-105
101,101,53,97-105,96-106
102,102,55,98-106,97-107
103,102,55,98-106,97-107
104,103,58,99-107,98-108
105,104,61,100-108,99-109
106,105,63,101-109,100-110
107,105,63,101-109,100-110
108,106,66,102-110,101-111
109,107,68,103-111,102-112
110,107,68,103-111,102-112
111,108,70,104-112,103-113
112,109,73,105-113,104-114
113,110,75,106-114,105-115
114,111,77,107-115,106-116
115,111,77,107-115,106-116
116,112,79,107-116,107-117
117,113,81,108-117,108-118
118,114,82,109-118,109-119
119,114,82,109-118,109-119
120,115,84,110-119,110-119
121,116,86,111-120,111-120
122,117,87,112-121,112-121
123,118,88,113-122,113-122
124,119,90,114-123,113-123
125,119,90,114-123,113-123
126,120,91,115-124,114-124
127,121,92,116-125,115-125
128,122,93,117-125,116-126
129,123,94,118-126,117-127
130,123,94,118-126,117-127
131,124,95,119-127,118-128
132,125,95,120-128,119-129
133,126,96,121-129,120-130
134,126,96,121-129,120-130
135,127,96,122-130,121-131
136,128,97,123-131,122-132
137,129,97,124-132,123-133
138,129,97,124-132,123-133
139,130,98,125-133,124-134
140,131,98,126-134,125-135
141,131,98,126-134,125-135
142,132,98,127-135,126-136
143,133,99,128-136,127-137
144,133,99,128-136,127-137
145,134,99,129-137,128-138
146,134,99,129-137,128-138
147,135,99,130-138,129-139
148,136,99,131-139,130-140
149,136,99,131-139,130-140
150,137,99,132-140,131-141
151,138,99,133-141,132-142
152,138,99,133-141,132-142
153,139,99.5,134-142,133-143
154,140,99.6,135-143,134-144
155,140,99.6,135-143,134-144
156,141,99.7,136-144,135-145
157,142,99.7,137-145,136-146
158,142,99.7,137-145,136-146
159,143,99.8,138-146,137-147
160,144,99.8,139-147,138-148
161,144,99.8,139-147,138-148
162,145,99.9,140-148,139-149
163,146,99.9,140-149,140-150
164,146,99.9,140-149,140-150
165,147,99.9,141-150,141-151
166,148,99.9,142-151,142-151
167,148,99.9,142-151,142-151
168,149,99.9,143-152,143-152
169,150,>99.9,144-153,144-153
170,150,>99.9,144-153,144-153
171,151,>99.9,145-154,145-154
172,151,>99.9,145-154,145-154
173,152,>99.9,146-155,146-155
174,152,>99.9,146-155,146-155
175,153,>99.9,147-156,146-156
176,153,>99.9,147-156,146-156
177,154,>99.9,148-157,147-157
178,154,>99.9,148-157,147-157
179,155,>99.9,149-157,148-158
180,155,>99.9,149-157,148-158
181,156,>99.9,150-158,149-159
182,156,>99.9,150-158,149-159
183,157,>99.9,151-159,150-160
184,157,>99.9,151-159,150-160
185,158,>99.9,152-160,151-161
186,158,>99.9,152-160,151-161
187,159,>99.9,153-161,152-162
188,159,>99.9,153-161,152-162
189,160,>99.9,154-162,153-163
190,160,>99.9,154-162,153-163
