PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,,0-3,0,0-6,0-5,0,0-2,0,0,1,0,0-13,0-3,0-4,0
2,,,4,1-2,7-10,6-7,,3,1,1-2,2,1-2,14-17,4,5,1
3,1,,5,3,11-13,8,1,4,2-3,3-4,3,3-4,18-21,5,6,2
4,2,0,6,4,14-17,9-110,2-3,5,4,5-6,4,5-6,22-25,6,7-8,3
5,3-4,1,7,5,18-21,11-12,4,6,5-6,7-9,5,7-8,26-30,7,9,4
6,5-7,2,8,6-7,22-26,13-14,5-6,7,7,10-12,6,9-10,31-35,,10,5
7,8-9,3-4,9,8,27-30,15-16,7,8,8-9,13-15,7,11-12,36-40,8,11-12,6
8,10-12,5-6,10,9,31-35,17-18,8-9,9-10,10,16-17,8,13-14,41-45,9,13,7
9,13-15,7-8,11,10-11,36-40,19-20,10,11,11-12,18-20,9,15-16,46-51,10,14,8
10,16-18,9-10,12,12,41-45,21-23,11-12,12-13,13-14,21-23,10,17-18,52-56,11,15-16,9
11,19-22,11-13,13,13-14,46-49,24-25,13,14,15,24-26,11,19-20,57-62,12,17,10
12,23-25,14-15,14,15,50-53,26-27,14,15-16,16-17,27-28,12,21,63-68,13,18,11
13,26-29,16-18,15,16-17,54-57,28-30,15-16,17-18,18-19,29-31,13,22-23,69-75,14,19-20,12
14,30-32,19-20,16-17,18,58-60,31-32,17,19-20,20,32-33,14,24-25,76-81,15,21,13
15,33-36,21-23,18,19-20,61-63,33-34,18,21-22,21-22,34-36,15,26-27,87-88,16,22,
16,37-39,24-25,19,21-22,64-65,35-37,19,23-24,23-24,37-38,16,28-29,89-94,17,23,14
17,40-43,26-28,20,23-24,,38-39,20,25-26,25-26,39-41,17,30-31,95-101,18,24-25,15
18,44-47,29-31,21-22,25,,40-42,21,27-28,27-28,42-44,18,32-33,102-108,19,26,
19,48-68,32-44,23-32,26-28,,43-68,22-30,29-35,29-42,45,19,34-38,109-136,20-33,27-34,16-24
