PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,,0-4,0-1,0-9,0-6,0,0-3,0-1,0,1,0-2,0-18,0-4,0-6,0-1
2,,0,5,2-3,10-12,7-8,1,4,2-3,1-2,2,3-4,19-22,5,7-8,2
3,1-2,,6,4,13-15,9-10,2-3,5,4,3,3,5-6,23-26,6,9,3
4,3-4,1,7,5,16-18,11-12,4-5,6,5-6,4-5,4,7-8,27-31,7,10,4
5,5-7,2,8,6-7,19-20,13-14,6,7,7-8,6-7,5,9-10,32-36,8,11-12,5
6,8-10,3-4,9,8,21-22,15-17,7-8,8-9,9,8-9,6,11-12,37-41,9,13,6-7
7,11-13,5-6,10,9-10,23-25,18-19,9,10,10-11,10-11,7,13-14,42-46,,14,8
8,14-16,7-9,11,11,26-27,20-21,10-11,11-12,12-13,12-13,8,15-16,47-52,10,15-16,
9,17-19,10-11,12,12,28-30,22-23,12,13,14,14-15,9,17-18,53-57,11,17,9
10,20-22,12-13,13,13-14,31-33,24-25,13-14,14-15,15-16,16-17,10,19-20,58-63,12,18,10
11,23-26,14-15,14,15,34-37,26-28,15,16-17,17-18,18-19,11,21-22,64-69,13,19-20,11
12,27-29,16-18,15,16-17,38-41,29-30,16,18,19,20-21,12,23-24,70-76,14,21,12
13,30-33,19-20,16-17,18,42-45,31-32,17-18,19-20,20-21,22-24,13,25,77-82,15,22,13
14,34-36,21-23,18,19-20,46-49,33-35,19,21-22,22-23,25-26,14,26-27,83-88,16,23-24,14
15,37-40,24-25,19,21,50-52,36-37,20,23-24,24-25,27-28,15,28-29,89-95,17-18,25,15
16,41-44,26-28,20-21,22-23,53-58,38-39,21,25,26,29-31,16,30-31,96-102,19,26,
17,45-48,29-30,22,24-25,59-62,40-42,22,26-27,27-28,32-33,17,32-33,103-108,20,27,16
18,49-52,31-32,23,26,63-66,43-44,23,28-29,34-35,18-19,34,109-115,21,28,17,
19,53-68,33-44,24-32,27-28,67-119,45-68,24-30,30-35,31-42,36-60,19,35-38,116-136,22-23,29-34,18-24
