SPP,IMO,rank_p,nc90,nc95
2,45,<0.1,43-55,42-56
3,49,<0.1,46-59,45-60
4,52,0.1,49-61,48-63
5,56,0.2,53-65,52-66
6,59,0.3,56-68,55-69
7,62,1,59-71,57-72
8,65,1,61-74,60-75
9,68,2,64-76,63-77
10,71,3,67-79,66-80
11,74,4,70-82,69-83
12,77,6,73-85,71-86
13,80,9,75-87,74-89
14,83,13,78-90,77-91
15,85,16,80-92,79-93
16,88,21,83-95,82-96
17,91,27,86-98,84-99
18,94,34,88-100,87-102
19,97,42,91-103,90-104
20,100,50,94-106,93-107
21,103,58,97-109,96-110
22,106,66,100-112,98-113
23,109,73,102-114,101-116
24,112,79,105-117,104-118
25,115,84,108-120,107-121
26,118,88,111-123,110-124
27,120,91,113-125,111-126
28,123,94,115-127,114-129
29,126,96,118-130,117-131
30,129,97,121-133,120-134
31,132,98,124-136,123-137
32,135,99,126-139,125-140
33,138,99,129-141,128-143
34,141,99.7,132-144,131-145
35,144,99.8,135-147,134-148
36,147,99.9,138-150,136-151
37,151,>99.9,141-154,140-155
38,155,>99.9,145-157,144-158
