SPP,IVP,rank_p,nc90,nc95
2,45,<0.1,44-59,43-61
3,49,<0.1,48-63,46-64
4,52,0.1,50-65,49-67
5,55,0.1,53-68,51-69
6,58,0.3,56-71,54-72
7,61,0.5,58-73,57-75
8,64,1,61-76,59-77
9,68,2,64-79,63-81
10,71,3,67-82,66-83
11,74,4,70-85,68-86
12,77,6,72-87,71-89
13,80,9,75-90,73-91
14,83,13,78-93,76-94
15,86,18,80-95,79-97
16,89,23,83-98,81-99
17,92,30,85-100,84-102
18,95,37,88-103,87-105
19,97,42,90-105,88-106
20,100,50,92-108,91-109
21,103,58,95-110,94-112
22,105,63,97-112,95-113
23,108,70,100-115,98-116
24,111,77,102-117,101-119
25,115,84,106-121,104-122
26,118,88,108-123,107-125
27,121,92,111-126,110-127
28,123,94,113-128,111-129
29,126,96,115-130,114-132
30,129,97,118-133,117-134
31,131,98,120-135,118-136
32,134,99,122-137,121-139
33,137,99,125-140,124-142
34,141,99.7,129-144,127-145
35,144,99.8,131-146,130-148
36,147,99.9,134-149,132-150
37,151,>99.9,137-152,136-154
38,155,>99.9,141-156,139-157
