PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-3,0,0-7,0-4,0-18,0-11,0-3,0-6,0-6,0-3,1,0-8,0-29,0-9,0-11,0-4
2,4-5,1,8,5,19-21,12-14,4-5,7,7-8,4-5,2,9-10,30-35,10,12,5-6
3,6-9,2-3,9,6-7,22-24,15-17,6-7,8-9,9-10,6-7,3,11-13,36-42,11,13-14,7
4,10-13,4-5,10,8-9,25-28,18-19,8-9,10-11,11-12,8-10,4,14-15,43-49,12,15-16,8
5,14-17,6-8,11,10,29-31,20-22,10-11,12-13,13-14,11-12,5,16-17,50-55,13,17,9
6,18-21,9-12,,11-12,32-35,23-24,12,14-15,15-16,13-14,6,18-19,56-62,14,18-19,10
7,22-25,13-15,12,13,36-39,25-27,13-14,16,17-18,15-17,7,20-21,63-68,15,20,11
8,26-29,16-17,13,14-15,40-43,28-29,15,17-18,19-20,18-19,8,22-23,69-75,16,21-22,12
9,30-33,18-20,14,16,44-47,30-32,16-17,19-20,21-22,20-22,9,24,76-81,17,23,13
10,34-37,21-23,15-16,17,48-51,33-34,18,21-22,23-24,23-24,10,25-26,82-88,18,24,14
11,38-41,24-25,17,18-19,52-55,35-37,19,23,25-26,25-26,11,27-28,89-94,19,25-26,15
12,42-45,26-28,18-19,20,56-59,38-39,20,24-25,27-28,27-29,12,29,95-101,20-21,27,16
13,46-49,29-30,20,21,60-63,40-42,21,26-27,29,30-31,13,30-31,102-107,22,28,17
14,50-53,31-32,21-22,22,64-67,43-44,22,28,30-31,32-33,14,32,108-114,23,29,18
15,54-57,33,23,23-24,68-71,45-47,,29-30,32-33,34-35,15,33-34,115-120,24-25,30,19
16,58-60,34-35,24-25,25,72-75,48-49,23,31-32,34-35,36-37,16,35,121-126,26,31,
17,61-63,36,26-27,26,76-80,50-51,24,33,36-37,38-39,17,36,127-132,27,32,20
18,64-66,37,28,27,81-84,52-53,25,34,38-39,40-41,18,37,133-134,28-29,,21
19,67-68,38-44,29-32,28,85-119,54-68,26-30,35,40-42,42-60,19,38,135-136,30-33,33-34,22-24
