PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-3,0,0-8,0-4,0-19,0-12,0-4,0-6,0-7,0-3,1,0-8,0-29,0-9,0-11,0-5
2,4-5,1,9,5-6,20-22,13-14,5-6,7-8,8-9,4-5,2,9-11,30-36,10,12-13,6
3,6-9,2-3,,7,23-25,15-17,7-8,9-10,10-11,6-7,3,12-13,37-43,11,14,7
4,10-13,4-5,10,8-9,26-28,18-20,9-10,11,12-13,8-10,4,14-15,44-49,12,15-16,8
5,14-17,6-8,11,10,29-32,21-22,11,12-13,14-15,11-12,5,16-17,50-56,13,17,9
6,18-22,9-12,12,11-12,33-36,23-25,12-13,14-15,16-17,13-15,6,18-19,57-63,14,18-19,10
7,23-26,13-15,,13,37-40,26-27,14,16-17,18-19,16-17,7,20-21,64-70,15,20,11
8,27-30,16-18,13,14-15,41-44,28-30,15-16,18,20-21,18-20,8,22-23,71-76,16,21-22,12
9,31-34,19-20,14,16,45-48,31-32,17,19-20,22,21-22,9,24-25,77-83,17,23,13
10,35-38,21-23,15-16,17-18,49-52,33-35,18,21-22,23-24,23-25,10,26-27,84-89,18,24-25,14
11,39-42,24-26,17,19,53-56,36-37,19-20,23-24,25-26,26-27,11,28,90-96,19-20,26,15
12,43-46,27-28,18-19,20,57-60,38-40,,25,27-28,28-29,12,29-30,97-102,21,27,16
13,47-50,29-30,20,21,61-64,41-42,21,26-27,29-30,30-31,13,31,103-109,22,28,17
14,51-54,31-32,21-22,22-23,65-69,43-45,22,28-29,31-32,32-34,14,32-33,110-115,23-24,29,18
15,55-58,33-34,23,24,70-73,46-47,,30,33-34,35,15,34,116-122,25,30,19
16,59-61,35,24-25,25,74-77,48-50,23,31-32,35,36-37,16,35,123-127,26,31,20
17,62-64,36,26-27,26,78-81,51-52,24,33,36-37,38-39,17,36,128-132,27-28,32,
18,65-66,37,28-29,27,82-86,53-54,25,34,38-39,40-42,18,37,133-135,29,,21
19,67-68,38-44,30-32,28,87-119,55-68,26-30,35,40-42,43-60,19,38,136,30-33,33-34,22-24
