SPP,IOP,rank_p,nc90,nc95
3,45,<0.1,43-55,42-56
4,47,<0.1,45-57,43-58
5,49,<0.1,46-59,45-60
6,51,0.1,48-61,47-62
7,53,0.1,50-62,49-64
8,55,0.1,52-64,51-65
9,57,0.2,54-66,53-67
10,59,0.3,56-68,55-69
11,61,0.5,58-70,56-71
12,63,1,60-72,58-73
13,65,1,61-74,60-75
14,67,1,63-75,62-77
15,69,2,65-77,64-78
16,71,3,67-79,66-80
17,73,4,69-81,68-82
18,75,5,71-83,70-84
19,77,6,73-85,71-86
20,79,8,74-87,73-88
21,81,10,76-88,75-90
22,83,13,78-90,77-91
23,86,18,81-93,80-94
24,88,21,83-95,82-96
25,90,25,85-97,83-98
26,92,30,86-99,85-100
27,94,34,88-100,87-102
28,96,39,90-102,89-104
29,98,45,92-104,91-105
30,100,50,94-106,93-107
31,102,55,96-108,95-109
32,104,61,98-110,96-111
33,106,66,100-112,98-113
34,108,70,101-114,100-115
35,110,75,103-115,102-117
36,112,79,105-117,104-118
37,114,82,107-119,106-120
38,116,86,109-121,108-122
39,118,88,111-123,110-124
40,120,91,113-125,111-126
41,122,93,114-127,113-128
42,124,95,116-128,115-130
43,126,96,118-130,117-131
44,128,97,120-132,119-133
45,130,98,122-134,121-135
46,132,98,124-136,123-137
47,134,99,126-138,124-139
48,136,99,127-140,126-141
49,138,99,129-141,128-143
50,140,99.6,131-143,130-144
51,142,99.7,133-145,132-146
52,144,99.8,135-147,134-148
53,146,99.9,137-149,136-150
54,148,99.9,139-151,137-152
55,150,>99.9,140-153,139-154
56,152,>99.9,142-154,141-156
57,155,>99.9,145-157,144-158
