PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-4,0,0-8,0-5,0-22,0-13,0-5,0-6,0-8,0-5,1,0-9,0-31,0-9,0-11,0-5
2,5-7,1,9,6-7,23-25,14-16,6-7,7-8,9-10,6-7,2,10-12,32-39,10,12-13,6-7
3,8-11,2-3,10,8,26-29,17-19,8-9,9-10,11-12,8-9,3,13-14,40-46,11,14-15,8
4,12-15,4-6,11,9-10,30-32,20-21,10-11,11-12,13-14,10-12,4,15-17,47-53,12-13,16-17,9
5,16-19,7-10,,11,33-36,22-24,12-13,13-14,15-16,13-14,5,18-19,54-61,14,18,10
6,20-24,11-14,12,12-13,37-40,25-27,14,15-16,17-18,15-17,6,20-21,62-68,15,19-20,11
7,25-29,15-17,13,14,41-44,28-29,15,17-18,19-21,18-20,7,22-23,69-76,16,21,12
8,30-34,18-20,14,15,45-48,30-32,16-17,19-20,2-23,21-23,8,24-25,77-83,17,22-23,13
9,35-38,21-24,15,16-17,19-53,33-35,18,21-22,24-25,24-26,9,26-27,84-90,18-19,24,14
10,39-43,25-26,16,18,54-57,36-37,19,23,26-27,27-28,10,28,91-97,20,25-26,15
11,44-47,27-29,17-18,19,58-62,38-40,20,24-25,28-29,29-31,11,29-30,98-103,21,27,16
12,48-51,30-31,19-20,20-21,63-66,41-42,21,26-27,30,32-33,12,31,104-110,22-23,28,17
13,52-55,32-33,21,22,67-71,43-45,22,28,31-32,34-35,13,32,111-116,24,29,18
14,56-59,34,22-23,23,72-76,46-47,,29-30,33-34,36-38,14,33-34,117-122,25-26,30,19
15,60-62,35-36,24,24,77-81,48-50,23,31-32,35-36,39-40,15,35,123-128,27,31,20
16,63-64,37,25-26,25,82-86,51-52,24,33,37,41-42,16,36,129-132,28-29,32,21
17,65-66,38,27-28,26,87-91,53-55,25,34,38-39,43-44,17,,133-134,30,33,22
18,67,39,29-30,27,92-97,56-57,26,,40,45-47,18,37,135,31-32,,
19,68,40-44,31-32,28,98-119,58-68,27-30,35,41-42,48-60,19,38,136,33,34,23-24
